Short Form,Title,Year,Location,Points
,Era of stagnation in agriculture,1950,India,"1. Low growth in crop and grain production 0.4 and 0.1 percent p.a.
2. Foodgrain production of 59.2 MT in 1952-53 with a yield of 579.8 kg/ha.
3. Foodgrain production of 59.2 MT in 1952-53 with a yield of 579.8 kg/ha."
,Green Revolution,1960,India,"1. Pioneering work of agricultural scientists and efforts of farmers that led to the Green Revolution.
2. High Yield Variety (HYV) of seeds increased use of fertilizers and irrigation resulting in a significant spike in production.
3. Food security and reduced import of food grains."
,Surplus production and exports,1980,India,"1. Expanding cereal production.
2. Economic reforms introduced that provided greater encouragement to exports.
3. Surplus of production of agricultural commodities over domestic demand.
4. India emerged as a net exporter of agricultural products.
5. Increase in population and strong income growth."
,"Economic reforms, technological advancements and disruptive transformation",2000,India,"1. Better technology adoption.
2. Rise in institutional credit for agriculture.
3. NFSM to increase the production of commodities.
4. Schemes like National Horticulture Mission (NHM) and Bringing Green Revolution in Eastern India (BREI) that helped achieve record production.
5. The National Mission on Oilseeds & Oil Palm.
6. Commodity exchanges that helped in fair pricing of commodities."
SFAC,Small Farmers Agribusiness Consortium,1994,India,"1. The consortium focused on creating wider linkages for FPOs to reduce transaction costs improve access to technology and services and ultimately link them to better market opportunities for higher returns.
2. To meet the above objective an ICT backed platform was provided that electronically linked all the FPOs in the country and leveraged their collective bargaining power."
HMNEH,Horticulture Mission for North East And Himalayan States,2001,India,"1. The main objective of this mission was to improve the production & productivity of horticulture crops.
2. Special emphasis was laid on Low Volume, High Value, Less Perishable Horticulture Crops."
ATMA,Agricultural Technology Management Agency,2005,India,"1. ATMA technique facilitated the retrieval of data from internet-based web portals offline by using a simple mobile phone.
2. Over 12 services of innovative technology like USSD Unstructured Supplementary Service Data were operationalized for farmers and other stakeholders."
NeGPA,National e-Governance Plan in Agriculture,2006,India,"1. The NeGP-A was introduced in the last phase of 11th plan for ensuring timely access to agriculture-related  information for the farmers through the use of ICT.
2. The services include information on pesticides, fertilizers & seeds, soil health, crops, farm machinery, good agricultural practices, weather advisors, prices, arrivals, procurement points, irrigation, fishery inputs, infrastructure, drought relief, and more."
NFSM,National Food Security Mission,2007,India,"1. The National Food Security Mission was launched in FY08 with an outlay of USD1.2 billion during the 11th five year plan.
2. It aimed at increasing the production of rice, wheat and pulses by 10 million tonnes, 8 million tonnes and 2 million tonnes by FY12."
RKVY,Rashtriya Krishi Vikas Yojana,2007,India,"1. Rashtriya Krishi Vikas Yojana (RKVY) was launched in FY08 with an outlay of USD5.3 billion during the 11th five year plan.
2. It aimed at incentivizing states to increase outlays for agriculture and allied activities, thereby encouraging growth opportunities in the agriculture sector."
NCIP,National Crop Insurance Programme,2013,India,"1. Modified National Insurance Scheme aimed at ensuring food security, crop diversification and enhancing the growth of the sector. 
2. Weather-based crop insurance was introduced that aimed to minimize the financial loss of the insured farmers on account of anticipated crop loss resulting from unfavorable weather conditions.
3. Coconut Palm Insurance Scheme aimed at minimizing the risks faced by the coconut cultivating farmers."
,Pradhan Mantri Krishi Sinchai Yojana,2015,India,"1. Allocation of USD830 million for the development of micro-irrigation, watershed and Pradhan Mantri Krishi Sinchai Yojana.
2. State government are compelled to fund the agriculture sector, take appropriate measures to achieve the targeted growth rate and address issues of farmers."
PKVY,Paramparagat Krishi Vikas Yojana,2015,India,"1. This scheme ensures the promotion of organic farming.
2. Adoption of farming will promote the balanced use of chemical fertilizers and enhance the quality of farm produce."
PMFBY,Pradhan Mantri Fasal Bima Yojana,2016,India,"1. The existing National Agricultural Insurance Scheme (NAIS) and the Modified National Agricultural Insurance Scheme (MNAIS) were replaced by PMFBY, from April 1, 2016.
2. In 2016, the central government launched a crop insurance policy, Pradhan Mantri Fasal Bima Yojana, for providing financial support to farmers and covering their crop losses.
3. The premium was payable on the principal amount to the farmers."
eNAM,National Agriculture Market,2016,India,"1. National Agriculture Market (eNAM), a pan-India electronic trading portal networks the existing APMC mandis to create a unified national market for agricultural commodities.
2. It aims to promote uniformity in agriculture marketing by streamlining of procedures across the integrated markets, removing information asymmetry between buyers and sellers and promoting real-time price discovery based on actual demand and supply."
